42 82 190	Cerulean - Cerulean_blue
109 155 195	Cerulean - Cerulean_frost
29 172 214	Cerulean - Cerulean_(Crayola)
0 122 165	CG_Blue
224 60 49	CG_Red
247 231 206	Champagne_(color) - Champagne
241 221 207	Shades_of_pink - Other_notable_pink_colors
54 69 79	Shades_of_gray - Charcoal
35 43 43	Shades_of_black_(colors) - Charleston_green
230 143 172	Shades_of_pink - Charm_pink
223 255 0	Chartreuse_(color)
127 255 0	Chartreuse_(color)
255 183 197	Shades_of_pink - Cherry_blossom_pink
149 69 53	Chestnut_(color)
222 111 161	Shades_of_pink - China_pink
168 81 110	Rose_(color) - China_rose
170 56 30	Vermilion - Chinese_red_2
133 96 136	Shades_of_violet - Chinese_violet
255 178 0	Shades_of_yellow - Chinese_yellow
123 63 0	Chocolate_(color)
210 105 30	Chocolate_(color) - Variations_of_chocolate
255 167 0	Chrome_yellow
152 129 123	Cinereous
227 66 52	Vermilion
205 96 126	List_of_Crayola_crayon_colors - Silver_Swirls
228 208 10	Citrine_(colour)
158 169 31	Lemon_(color) - Citron
127 23 52	Wine_(color) - Claret
0 71 171	Cobalt_blue
210 105 30	Chocolate_(color) - Variations_of_chocolate
111 78 55	Coffee_(color)
185 217 235	Columbia_Blue
248 131 121	Shades_of_pink - Congo_pink
140 146 172	Shades_of_gray - Cool_gray
184 115 51	Copper_(color)
218 138 103	Copper_(color) - Variations_of_copper
173 111 105	Copper_(color) - Copper_penny
203 109 81	Copper_(color) - Copper_red
153 102 102	Copper_(color) - Copper_rose
255 56 0	Coquelicot
255 127 80	Coral_(color)
248 131 121	Coral_(color) - Coral_pink
137 63 69	Cordovan_(color)
251 236 93	Corn_(color)
100 149 237	Cornflower_blue
255 248 220	Shades_of_white - Cornsilk
46 45 136	List_of_Crayola_crayon_colors - Silver_Swirls
255 248 231	Cosmic_latte
129 97 60	Coyote_brown
255 188 217	Shades_of_pink - Cotton_candy
255 253 208	Cream_(colour)
220 20 60	Crimson
158 27 50	Crimson - School_colors
245 245 245	List_of_Crayola_crayon_colors - Pearl_Brite
0 255 255	Cyan
0 183 235	Cyan - Process_cyan
88 66 124	List_of_Crayola_crayon_colors - Metallic_FX
255 211 0	Shades_of_yellow - Cyber_yellow
245 111 161	Cyclamen_(color)
102 102 153	Blue-gray - Dark_blue-gray
101 67 33	Shades_of_brown - Dark_brown
93 57 84	Byzantium_(color) - Dark_byzantium
38 66 139	Cornflower_blue - Dark_cornflower_blue
0 139 139	Shades_of_cyan - Dark_cyan
83 104 120	Electric_blue_(color) - Dark_electric_blue
184 134 11	Goldenrod_(color) - Dark_goldenrod
1 50 32	Shades_of_green - Dark_green
0 100 0	Shades_of_green - Dark_green_(X11)
26 36 33	Jungle_green - Dark_jungle_green
189 183 107	Khaki_(color) - Dark_khaki
72 60 50	Lava_(color) - Dark_lava
83 75 79	Liver_(color) - Dark_liver_(web)
84 61 55	Liver_(color) - Dark_liver_(horses)
139 0 139	Shades_of_magenta - Dark_magenta
74 93 35	Shades_of_green - Dark_moss_green
85 107 47	Olive_(color) - Dark_olive_green
255 140 0	Shades_of_orange - Dark_orange_(web_color)
153 50 204	Orchid_(color) - Dark_orchid
3 192 60	Shades_of_green - Dark_pastel_green
48 25 52	Dark_purple
139 0 0	Maroon_(color) - Dark_red
233 150 122	Salmon_(color) - Dark_salmon
143 188 143	X11_color_names - Color_name_charts
60 20 20	Sienna
140 190 214	Sky_blue - Dark_sky_blue
72 61 139	X11_color_names - Color_name_charts
47 79 79	Slate_gray - Dark_slate_gray
23 114 69	Spring_green - Dark_spring_green
0 206 209	Turquoise_(color) - Dark_Turquoise
148 0 211	Shades_of_violet - Pigment_violet_(web_color_dark_violet)
0 112 60	Shades_of_green - Dartmouth_green
85 85 85	Davy%27s_grey
218 50 135	Cerise_(color) - Deep_cerise
250 214 165	Champagne_(color) - Deep_champagne
185 78 72	Chestnut_(color) - Deep_chestnut
0 75 73	Jungle_green - Deep_jungle_green
255 20 147	Shades_of_pink - Deep_pink
255 153 51	Saffron_(color) - India_saffron_or_deep_saffron
0 191 255	Sky_blue - Deep_sky_blue
74 100 108	List_of_Crayola_crayon_colors - Metallic_FX
126 94 96	Taupe - Deep_taupe
21 96 189	List_of_Crayola_crayon_colors - Standard_colors
34 67 182	List_of_Crayola_crayon_colors - Heads_'n_Tails
193 154 107	Desert_sand_(color) - Desert
237 201 175	Desert_sand_(color)
105 105 105	Grey - Web_colors
30 144 255	Dodger_blue
215 24 104	Rose_(color) - Dogwood_rose
150 113 23	Desert_sand_(color) - Sand_dune_(Drab)
0 0 156	Duke_blue
239 223 187	Shades_of_white - Dutch_white
225 169 95	Desert_sand_(color) - Earth_yellow
85 93 80	Shades_of_black_(colors) - Ebony
194 178 128	Ecru
27 27 27	Shades_of_black - Eerie_black
97 64 81	Eggplant_(color)
240 234 214	Eggshell_(color)
16 52 166	Egyptian_blue
125 249 255	Electric_blue_(color)
0 255 0	Electric_green
111 0 255	Indigo - Electric_indigo
204 255 0	Lime_(color) - Electric_lime
191 0 255	Shades_of_purple - Electric_purple:_2000s
143 0 255	Shades_of_violet - Electric_violet
80 200 120	Shades_of_green - Emerald
108 48 130	Shades_of_purple - Eminence
27 77 62	Shades_of_green - Brunswick_green
180 131 149	Lavender_(color) - English_lavender
171 75 82	Indian_red_(color) - English_red
204 71 75	List_of_Crayola_crayon_colors
86 60 92	Shades_of_violet - English_violet
0 255 64	Erin_(color)
150 200 162	Eton_blue - Eton_blue
193 154 107	Fallow_(color)
128 24 24	Falu_red
181 51 137	Fuchsia_(color) - Fandango
222 82 133	Shades_of_pink - Fandango_pink
244 0 161	Fuchsia_(color) - Fashion_fuchsia
229 170 112	Fawn_(colour)
77 93 83	Shades_of_green - Feldgrau
79 121 66	Shades_of_green - Fern_green
108 84 30	Desert_sand_(color) - Field_drab
255 84 112	List_of_Crayola_crayon_colors - Extreme_Twistables_colors
178 34 34	X11_color_names - Color_name_charts
206 32 41	Fire_engine_red
233 92 75	Shades_of_orange - Fire_opal
226 88 34	Flame_(color)
238 220 130	Flax_(color)
162 0 109	Red-violet - Flirt
255 250 240	Shades_of_white - Floral_white
21 244 238	Shades_of_blue - Fluorescent_blue
95 167 119	Shades_of_green - Forest_Green_(Crayola)
1 68 33	Shades_of_green - UP_Forest_Green
34 139 34	Shades_of_green - Forest_green
